,NAME,perwhite,pernonwhite,per.homeowner,per.public,drive_alone,carpool,onePrnt6to17,PovChld6_17,NumStations
1,"Census Tract 1.01, Suffolk County, Massachusetts",0.753323486,0.246676514,0.311004785,0.205069124,0.314623338,0.042836041,0.046052632,0,0
2,"Census Tract 1.02, Suffolk County, Massachusetts",0.566032752,0.433967248,0.219364599,0.216775182,0.429477021,0.038298996,0.357142857,0,4
3,"Census Tract 1001, Suffolk County, Massachusetts",0.014094533,0.985905467,0.245238095,0.46381275,0.180951025,0.030324601,0.837312113,0,2
4,"Census Tract 1002, Suffolk County, Massachusetts",0.020354216,0.979645784,0.512172285,0.292102207,0.210679355,0.034892942,0.672438672,0.165945166,0
5,"Census Tract 1003, Suffolk County, Massachusetts",0.027400468,0.972599532,0.454951601,0.273092369,0.255269321,0.040749415,0.627946128,0,1
6,"Census Tract 1004, Suffolk County, Massachusetts",0.124160496,0.875839504,0.497672012,0.305890962,0.223867746,0.044256931,0.749496982,0.052313883,1
7,"Census Tract 1005, Suffolk County, Massachusetts",0.209258725,0.790741275,0.35703125,0.358809085,0.18805884,0.05494664,0.546365915,0.076441103,2
8,"Census Tract 1006.01, Suffolk County, Massachusetts",0.358505953,0.641494047,0.426928606,0.354457573,0.246289349,0.032621106,0.240740741,0,1
9,"Census Tract 1006.03, Suffolk County, Massachusetts",0.803510483,0.196489517,0.651053864,0.130226182,0.470014627,0.040955631,0.154639175,0,0
10,"Census Tract 1007, Suffolk County, Massachusetts",0.86759435,0.13240565,0.54296875,0.132601351,0.392156863,0.00780097,0.177419355,0,2
11,"Census Tract 1008, Suffolk County, Massachusetts",0.594193651,0.405806349,0.452697968,0.265511892,0.335141171,0.045780826,0.634146341,0.043360434,1
12,"Census Tract 1009, Suffolk County, Massachusetts",0.205024484,0.794975516,0.650689035,0.295884774,0.21268895,0.059399617,0.244732577,0,1
13,"Census Tract 101.03, Suffolk County, Massachusetts",0.53228909,0.46771091,0.087378641,0.170111288,0.018136851,0.015388843,NA,NA,3
14,"Census Tract 101.04, Suffolk County, Massachusetts",0.643723891,0.356276109,0.216089254,0.236992024,0.07201114,0.013328029,0.763157895,0,3
15,"Census Tract 1010.01, Suffolk County, Massachusetts",0.016856425,0.983143575,0.428382547,0.309745899,0.22963182,0.044063286,0.787513691,0,0
16,"Census Tract 1010.02, Suffolk County, Massachusetts",0.062999837,0.937000163,0.279639175,0.296842828,0.23029215,0.05190142,0.659600998,0.144638404,2
17,"Census Tract 1011.01, Suffolk County, Massachusetts",0.047580861,0.952419139,0.413333333,0.252444988,0.269981288,0.031809677,0.661016949,0,1
18,"Census Tract 1011.02, Suffolk County, Massachusetts",0.016914498,0.983085502,0.298336202,0.314830157,0.219330855,0.057806691,0.54587156,0.153669725,3
19,"Census Tract 102.04, Suffolk County, Massachusetts",0.646964429,0.353035571,0.119575699,0.216363636,0.047338861,0.011767852,0,0,4
20,"Census Tract 102.05, Suffolk County, Massachusetts",0.511065363,0.488934637,0.046632124,0.231661832,0.075398868,0,0,0.635220126,0
21,"Census Tract 102.06, Suffolk County, Massachusetts",0.60396543,0.39603457,0.060156931,0.221323529,0.145907473,0,NA,NA,1
22,"Census Tract 103, Suffolk County, Massachusetts",0.70360872,0.29639128,0.114068441,0.123890063,0.046895036,0.015387434,NA,NA,5
23,"Census Tract 104.03, Suffolk County, Massachusetts",0.510032835,0.489967165,0.048235294,0.272667108,0.043049982,0.006202116,1,0,0
24,"Census Tract 104.04, Suffolk County, Massachusetts",0.555137597,0.444862403,0.136666667,0.287820863,0.031676896,0.015640467,0,0.195121951,1
25,"Census Tract 104.05, Suffolk County, Massachusetts",0.525104603,0.474895397,0.037628278,0.266297906,0.035082073,0.024621822,1,0,1
26,"Census Tract 104.08, Suffolk County, Massachusetts",0.602280827,0.397719173,0.096153846,0.251303441,0.090520314,0.010691376,0.205128205,0,0
27,"Census Tract 105, Suffolk County, Massachusetts",0.515046296,0.484953704,0.088571429,0.240841248,0.122974537,0,0.269230769,0.076923077,2
28,"Census Tract 106, Suffolk County, Massachusetts",0.664415737,0.335584263,0.170528267,0.232466896,0.114797416,0.013799178,0,0,5
29,"Census Tract 107.01, Suffolk County, Massachusetts",0.752899197,0.247100803,0.270800628,0.284806103,0.130240856,0.017841213,0.196428571,0,2
30,"Census Tract 107.02, Suffolk County, Massachusetts",0.844834159,0.155165841,0.488087134,0.193155452,0.186427754,0.008387343,0.288888889,0,5
31,"Census Tract 108.01, Suffolk County, Massachusetts",0.792018938,0.207981062,0.47036806,0.093403386,0.112275955,0.022658099,0.448275862,0,1
32,"Census Tract 108.02, Suffolk County, Massachusetts",0.804024497,0.195975503,0.407108239,0.247831475,0.116652085,0.007290755,0.468253968,0,0
33,"Census Tract 1101.04, Suffolk County, Massachusetts",0.234618916,0.765381084,0.402298851,0.155982906,0.227272727,0.073461892,0.56557377,0,1
34,"Census Tract 1101.05, Suffolk County, Massachusetts",0.656441718,0.343558282,0.51109215,0.351602415,0.298909339,0.026584867,0,0,1
35,"Census Tract 1101.06, Suffolk County, Massachusetts",0.649918963,0.350081037,0.452237001,0.501573977,0.117233928,0.055105348,0,0,1
36,"Census Tract 1102.01, Suffolk County, Massachusetts",0.136599852,0.863400148,0.435359116,0.296901893,0.265775798,0.015219005,0.438448567,0.008431703,1
37,"Census Tract 1103.01, Suffolk County, Massachusetts",0.379046926,0.620953074,0.776119403,0.33164557,0.312113496,0.031647872,0.405204461,0.063197026,2
38,"Census Tract 1104.01, Suffolk County, Massachusetts",0.360596584,0.639403416,0.427803895,0.286501377,0.326437335,0.016117392,0.675986842,0.026315789,0
39,"Census Tract 1104.03, Suffolk County, Massachusetts",0.533226901,0.466773099,0.710949663,0.282655246,0.281380962,0.05587707,0.215411559,0.050788091,0
40,"Census Tract 1105.01, Suffolk County, Massachusetts",0.84294962,0.15705038,0.623470122,0.262091202,0.353504081,0.018575851,0.181818182,0,0
41,"Census Tract 1105.02, Suffolk County, Massachusetts",0.492939666,0.507060334,0.429770565,0.222609909,0.335044929,0.029097133,0.34595525,0,2
42,"Census Tract 1106.01, Suffolk County, Massachusetts",0.837194934,0.162805066,0.768044849,0.131416838,0.305220884,0.021624961,0.179624665,0,0
43,"Census Tract 1106.07, Suffolk County, Massachusetts",0.826557255,0.173442745,0.673836918,0.270440252,0.296717643,0.029280119,0.208333333,0,3
44,"Census Tract 1201.03, Suffolk County, Massachusetts",0.84529148,0.15470852,0.724324324,0.18792517,0.272982063,0.021300448,0.061403509,0,0
45,"Census Tract 1201.04, Suffolk County, Massachusetts",0.723342939,0.276657061,0.528424977,0.436906377,0.204610951,0.02799506,0.131944444,0,2
46,"Census Tract 1201.05, Suffolk County, Massachusetts",0.790588235,0.209411765,0.879714577,0.114782609,0.257254902,0.02,0.258928571,0,0
47,"Census Tract 1202.01, Suffolk County, Massachusetts",0.455648038,0.544351962,0.2960199,0.349869452,0.285374554,0.017360285,0.52,0,2
48,"Census Tract 1203.01, Suffolk County, Massachusetts",0.479231366,0.520768634,0.50363901,0.403035936,0.22496118,0.019604037,0.227513228,0,2
49,"Census Tract 1204, Suffolk County, Massachusetts",0.727328714,0.272671286,0.501,0.401397903,0.171516551,0.053117783,0.229508197,0,2
50,"Census Tract 1205, Suffolk County, Massachusetts",0.435586949,0.564413051,0.425327511,0.436746988,0.183316515,0.019845274,0.302702703,0.102702703,0
51,"Census Tract 1206, Suffolk County, Massachusetts",0.614146707,0.385853293,0.513204225,0.398835517,0.188248503,0.007859281,0.6,0,1
52,"Census Tract 1207, Suffolk County, Massachusetts",0.619919607,0.380080393,0.635330579,0.446747677,0.234479678,0.004019652,0.615023474,0,1
53,"Census Tract 1301.01, Suffolk County, Massachusetts",0.774576775,0.225423225,0.664518439,0.1035,0.386100386,0.019453519,0.499354839,0,0
54,"Census Tract 1302, Suffolk County, Massachusetts",0.81595092,0.18404908,0.719083969,0.16104182,0.369734151,0.035582822,0.12086514,0.012722646,1
55,"Census Tract 1303, Suffolk County, Massachusetts",0.882141251,0.117858749,0.766376812,0.121912351,0.367296446,0.04408457,0.047794118,0,1
56,"Census Tract 1304.02, Suffolk County, Massachusetts",0.655154091,0.344845909,0.722640673,0.134342479,0.38062345,0.048352816,0.344347826,0,1
57,"Census Tract 1304.04, Suffolk County, Massachusetts",0.557109557,0.442890443,0.542385596,0.103448276,0.446220446,0.017316017,0.109803922,0.047058824,0
58,"Census Tract 1304.06, Suffolk County, Massachusetts",0.262950173,0.737049827,0.21875,0.321855235,0.244532149,0.030587074,0.449669361,0,0
59,"Census Tract 1401.02, Suffolk County, Massachusetts",0.317517621,0.682482379,0.731206057,0.173748103,0.300498539,0.040914561,0.332758621,0.023275862,0
60,"Census Tract 1401.05, Suffolk County, Massachusetts",0.274801061,0.725198939,0.669954476,0.263963964,0.35331565,0.023607427,0.744186047,0,2
61,"Census Tract 1401.06, Suffolk County, Massachusetts",0.191069128,0.808930872,0.126923077,0.30565371,0.232717905,0.052382997,0.529896907,0.072164948,0
62,"Census Tract 1401.07, Suffolk County, Massachusetts",0.303837615,0.696162385,0.677536232,0.135802469,0.344433873,0.05296543,0.358490566,0,0
63,"Census Tract 1402.01, Suffolk County, Massachusetts",0.405636818,0.594363182,0.471134021,0.149017121,0.346057795,0.06956832,0.148241206,0,0
64,"Census Tract 1402.02, Suffolk County, Massachusetts",0.310272537,0.689727463,0.606200833,0.238649593,0.295597484,0.046720575,0.604477612,0.039800995,0
65,"Census Tract 1403, Suffolk County, Massachusetts",0.165092457,0.834907543,0.464259928,0.277777778,0.239856326,0.053611813,0.305810398,0.281345566,3
66,"Census Tract 1404, Suffolk County, Massachusetts",0.098638395,0.901361605,0.600776448,0.280506112,0.278037626,0.034403908,0.522687609,0.041012216,0
67,"Census Tract 2.01, Suffolk County, Massachusetts",0.668627007,0.331372993,0.304155125,0.221376572,0.383623615,0.070572269,0.064516129,0.557184751,1
68,"Census Tract 2.02, Suffolk County, Massachusetts",0.577262957,0.422737043,0.284574468,0.232385661,0.34272749,0.025077621,0.428761651,0.127829561,2
69,"Census Tract 201.01, Suffolk County, Massachusetts",0.858575085,0.141424915,0.402536232,0.135737705,0.098762799,0.033276451,0,0,0
70,"Census Tract 202, Suffolk County, Massachusetts",0.853321576,0.146678424,0.266536965,0.173834478,0.085537919,0,0.288888889,0,1
71,"Census Tract 203.01, Suffolk County, Massachusetts",0.591374893,0.408625107,0.18875502,0.25034965,0.070025619,0.005123826,0,0,2
72,"Census Tract 203.02, Suffolk County, Massachusetts",0.809424084,0.190575916,0.241444867,0.270233196,0.086910995,0,0.12195122,0,0
73,"Census Tract 203.04, Suffolk County, Massachusetts",0.644160584,0.355839416,0.048939641,0.203412073,0.23540146,0,NA,NA,2
74,"Census Tract 203.05, Suffolk County, Massachusetts",0.672235023,0.327764977,0.334170854,0.163625304,0.109735023,0.002880184,0.786624204,0,2
75,"Census Tract 3.01, Suffolk County, Massachusetts",0.664364641,0.335635359,0.351304348,0.285081241,0.39191989,0.031077348,0,0,0
76,"Census Tract 3.02, Suffolk County, Massachusetts",0.627103889,0.372896111,0.466617211,0.194145502,0.390887986,0.043528729,0.184615385,0,0
77,"Census Tract 301, Suffolk County, Massachusetts",0.805443998,0.194556002,0.188879804,0.266743649,0.112896029,0.004462294,NA,NA,0
78,"Census Tract 302, Suffolk County, Massachusetts",0.863423212,0.136576788,0.136645963,0.184704185,0.208089097,0.013481829,0,0,0
79,"Census Tract 303.01, Suffolk County, Massachusetts",0.885365854,0.114634146,0.69815418,0.168067227,0.091463415,0.03902439,0.386666667,0.226666667,3
80,"Census Tract 303.02, Suffolk County, Massachusetts",0.628706999,0.371293001,0.090191657,0.238962859,0.069592724,0.003558719,0,0,6
81,"Census Tract 304, Suffolk County, Massachusetts",0.889278557,0.110721443,0.202985075,0.245238891,0.131012024,0.006012024,0,0,1
82,"Census Tract 305, Suffolk County, Massachusetts",0.849917763,0.150082237,0.488510007,0.156893819,0.143092105,0,0,0,0
83,"Census Tract 4.01, Suffolk County, Massachusetts",0.644211667,0.355788333,0.10846746,0.442131557,0.218710493,0.025103847,0,0,0
84,"Census Tract 4.02, Suffolk County, Massachusetts",0.693997072,0.306002928,0.329378925,0.241794765,0.202781845,0.086627623,0,0,0
85,"Census Tract 401, Suffolk County, Massachusetts",0.85536859,0.14463141,0.551100629,0.059868421,0.272435897,0.008814103,0.086065574,0,1
86,"Census Tract 402, Suffolk County, Massachusetts",0.536509581,0.463490419,0.505602241,0.201342282,0.223200414,0.038839979,0.701183432,0.044378698,1
87,"Census Tract 403, Suffolk County, Massachusetts",0.795583596,0.204416404,0.562157221,0.330608241,0.223343849,0.029442692,0.372708758,0.052953157,1
88,"Census Tract 404.01, Suffolk County, Massachusetts",0.769900498,0.230099502,0.371428571,0.258440047,0.216106965,0.014925373,0.605351171,0,2
89,"Census Tract 406, Suffolk County, Massachusetts",0.84167604,0.15832396,0.543870566,0.281407035,0.303712036,0.038807649,0.457627119,0,3
90,"Census Tract 408.01, Suffolk County, Massachusetts",0.529230769,0.470769231,0.333040807,0.286427977,0.197362637,0.028791209,0.290140845,0.033802817,4
91,"Census Tract 5.02, Suffolk County, Massachusetts",0.72760181,0.27239819,0.158024691,0.357069497,0.132126697,0.014841629,0.243243243,0,2
92,"Census Tract 5.03, Suffolk County, Massachusetts",0.743517209,0.256482791,0.164359862,0.542518128,0.175388967,0.022630835,NA,NA,0
93,"Census Tract 5.05, Suffolk County, Massachusetts",0.525728988,0.474271012,0.229807692,0.369362921,0.281732419,0.04373928,0.248275862,0,1
94,"Census Tract 5.06, Suffolk County, Massachusetts",0.696848968,0.303151032,0.155433287,0.494298746,0.18362912,0.018471568,1,0,0
95,"Census Tract 501.01, Suffolk County, Massachusetts",0.269362701,0.730637299,0.232432432,0.446249568,0.201299874,0.041704279,0.526132404,0.017421603,1
96,"Census Tract 502, Suffolk County, Massachusetts",0.277106292,0.722893708,0.307564881,0.480845847,0.151972983,0.022573765,0.330926594,0.081829122,1
97,"Census Tract 503, Suffolk County, Massachusetts",0.326181592,0.673818408,0.071881607,0.444523471,0.138681592,0.024875622,0.435897436,0.048076923,3
98,"Census Tract 504, Suffolk County, Massachusetts",0.436036789,0.563963211,0.19885823,0.680327869,0.085284281,0.045150502,0.758754864,0,1
